a,ə,(∅ ə ∅)
beautiful,ˈbjuːtəfəl,ˈ(bj uː ∅) (t ə ∅) (f ə l)
beauty,ˈbjuːti,ˈ(bj uː ∅) (t i ∅)
because,bɪˈkɒz,(b ɪ ∅) ˈ(k ɒ z)
become,bɪˈkʌm,(b ɪ ∅) ˈ(k ʌ m)
bed,bed,(b e d)
bedroom,ˈbedruːm,ˈ(b e d) (r uː m)
bee,biː,(b iː ∅)
beef,biːf,(b iː f)
beer,biə,(b iə ∅)
before,bɪˈfɔː,(b ɪ ∅) ˈ(f ɔː ∅)
beg,beg,(b e g)
begin,bɪˈgɪn,(b ɪ ∅) ˈ(g ɪ n)
beginning,bɪˈgɪnɪŋ,(b ɪ ∅) ˈ(g ɪ ∅) (n ɪ ŋ)
behalf,bɪˈhɑːf,(b ɪ ∅) ˈ(h ɑː f)
behave,bɪˈheɪv,(b ɪ ∅) ˈ(h eɪ v)
behaviour,bɪˈheɪvjə,(b ɪ ∅) ˈ(h eɪ ∅) (vj ə ∅)
behavioural,bɪˈheɪvjərəl,(b ɪ ∅) ˈ(h eɪ ∅) (vj ə ∅) (r ə l)
behind,bɪˈhaɪnd,(b ɪ ∅) ˈ(h aɪ nd)
being,ˈbiːɪŋ,ˈ(b iː ∅) (∅ ɪ ŋ)
belief,bɪˈliːf,(b ɪ ∅) ˈ(l iː f)
believe,bɪˈliːv,(b ɪ ∅) ˈ(l iː v)
bell,bel,(b e l)
belly,ˈbeli,ˈ(b e ∅) (l i ∅)
belong,bɪˈlɒŋ,(b ɪ ∅) ˈ(l ɒ ŋ)
below,bɪˈləʊ,(b ɪ ∅) ˈ(l əʊ ∅)
belt,belt,(b e lt)
bench,benʧ,(b e nʧ)
bend,bend,(b e nd)
beneath,bɪˈniːθ,(b ɪ ∅) ˈ(n iː θ)
benefit,ˈbenɪfɪt,ˈ(b e ∅) (n ɪ ∅) (f ɪ t)
beside,bɪˈsaɪd,(b ɪ ∅) ˈ(s aɪ d)
besides,bɪˈsaɪdz,(b ɪ ∅) ˈ(s aɪ dz)
best,best,(b e st)
best,best,(b e st)
bet,ˈbet,ˈ(b e t)
better,ˈbetə,ˈ(b e ∅) (t ə ∅)
between,bɪˈtwiːn,(b ɪ ∅) ˈ(tw iː n)
beyond,bɪˈjɒnd,(b ɪ ∅) ˈ(j ɒ nd)
bias,ˈbaɪəs,ˈ(b aɪ ∅) (∅ ə s)
bible,ˈbaɪbɫ̩,ˈ(b aɪ ∅) (b ɫ̩ ∅)
bicycle,ˈbaɪsɪkɫ̩,ˈ(b aɪ ∅) (s ɪ ∅) (k ɫ̩ ∅)
bid,bɪd,(b ɪ d)
big,bɪg,(b ɪ g)
bike,baɪk,(b aɪ k)
bill,bɪl,(b ɪ l)
billion,ˈbɪliən,ˈ(b ɪ ∅) (l iə n)
bind,baɪnd,(b aɪ nd)
biography,baɪˈɒgrəfi,(b aɪ ∅) ˈ(∅ ɒ ∅) (gr ə ∅) (f i ∅)
biological,baɪəˈlɒʤɪkəl,(b aɪ ∅) (∅ ə ∅) ˈ(l ɒ ∅) (ʤ ɪ ∅) (k ə l)
biology,baɪˈɒləʤi,(b aɪ ∅) ˈ(∅ ɒ ∅) (l ə ∅) (ʤ i ∅)
bird,bɜːd,(b ɜː d)
birth,bɜːθ,(b ɜː θ)
birthday,ˈbɜːθdeɪ,ˈ(b ɜː θ) (d eɪ ∅)
bishop,ˈbɪʃəp,ˈ(b ɪ ∅) (ʃ ə p)
bit,bɪt,(b ɪ t)
bite,baɪt,(b aɪ t)
bitter,ˈbɪtə,ˈ(b ɪ ∅) (t ə ∅)
black,blak,(bl a k)
blade,bleɪd,(bl eɪ d)
blame,bleɪm,(bl eɪ m)
blank,blaŋk,(bl a ŋk)
blanket,ˈblaŋkɪt,ˈ(bl a ŋ) (k ɪ t)
blast,blɑːst,(bl ɑː st)
blend,blend,(bl e nd)
bless,bles,(bl e s)
blessing,ˈblesɪŋ,ˈ(bl e ∅) (s ɪ ŋ)
blind,blaɪnd,(bl aɪ nd)
blink,blɪŋk,(bl ɪ ŋk)
block,ˈblɒk,ˈ(bl ɒ k)
blond,blɒnd,(bl ɒ nd)
blood,blʌd,(bl ʌ d)
bloody,ˈblʌdi,ˈ(bl ʌ ∅) (d i ∅)
blow,bləʊ,(bl əʊ ∅)
blue,bluː,(bl uː ∅)
board,bɔːd,(b ɔː d)
boast,bəʊst,(b əʊ st)
boat,bəʊt,(b əʊ t)
body,ˈbɒdi,ˈ(b ɒ ∅) (d i ∅)
boil,bɔɪl,(b ɔɪ l)
bold,bəʊld,(b əʊ ld)
bolt,bəʊlt,(b əʊ lt)
bomb,bɒm,(b ɒ m)
bomb,bɒm,(b ɒ m)
bombing,ˈbɒmɪŋ,ˈ(b ɒ ∅) (m ɪ ŋ)
bond,bɒnd,(b ɒ nd)
bone,bəʊn,(b əʊ n)
bonus,ˈbəʊnəs,ˈ(b əʊ ∅) (n ə s)
book,bʊk,(b ʊ k)
boom,buːm,(b uː m)
boot,buːt,(b uː t)
booth,buːð,(b uː ð)
border,ˈbɔːdə,ˈ(b ɔː ∅) (d ə ∅)
boring,ˈbɔːrɪŋ,ˈ(b ɔː ∅) (r ɪ ŋ)
born,bɔːn,(b ɔː n)
borrow,ˈbɒrəʊ,ˈ(b ɒ ∅) (r əʊ ∅)
boss,bɒs,(b ɒ s)
both,bəʊθ,(b əʊ θ)
bother,ˈbɒðə,ˈ(b ɒ ∅) (ð ə ∅)
bottle,ˈbɒtɫ̩,ˈ(b ɒ ∅) (t ɫ̩ ∅)
bottom,ˈbɒtəm,ˈ(b ɒ ∅) (t ə m)
bounce,baʊns,(b aʊ ns)
boundary,ˈbaʊndri,ˈ(b aʊ n) (dr i ∅)
bow,baʊ,(b aʊ ∅)
bowl,bəʊl,(b əʊ l)
box,bɒks,(b ɒ ks)
boy,ˌbɔɪ,ˌ(b ɔɪ ∅)
boyfriend,ˈbɔɪfrend,ˈ(b ɔɪ ∅) (fr e nd)
brain,breɪn,(br eɪ n)
brake,breɪk,(br eɪ k)
branch,brɑːnʧ,(br ɑː nʧ)
brand,brand,(br a nd)
brave,breɪv,(br eɪ v)
bread,bred,(br e d)
break,breɪk,(br eɪ k)
break,breɪk,(br eɪ k)
breakfast,ˈbrekfəst,ˈ(br e k) (f ə st)
breast,brest,(br e st)
breath,breθ,(br e θ)
breathe,briːð,(br iː ð)
breathing,ˈbriːðɪŋ,ˈ(br iː ∅) (ð ɪ ŋ)
breeze,briːz,(br iː z)
brick,brɪk,(br ɪ k)
bride,braɪd,(br aɪ d)
bridge,brɪʤ,(br ɪ ʤ)
brief,briːf,(br iː f)
briefly,ˈbriːfli,ˈ(br iː ∅) (fl i ∅)
bright,braɪt,(br aɪ t)
brilliant,ˈbrɪliənt,ˈ(br ɪ ∅) (l iə nt)
bring,brɪŋ,(br ɪ ŋ)
british,ˈbrɪtɪʃ,ˈ(br ɪ ∅) (t ɪ ʃ)
broad,brɔːd,(br ɔː d)
broadcast,ˈbrɔːdkɑːst,ˈ(br ɔː d) (k ɑː st)
broken,ˈbrəʊkən,ˈ(br əʊ ∅) (k ə n)
broker,ˈbrəʊkə,ˈ(br əʊ ∅) (k ə ∅)
bronze,brɒnz,(br ɒ nz)
brother,ˈbrʌðə,ˈ(br ʌ ∅) (ð ə ∅)
brown,braʊn,(br aʊ n)
brush,brʌʃ,(br ʌ ʃ)
brutal,ˈbruːtəl,ˈ(br uː ∅) (t ə l)
bubble,ˈbʌbɫ̩,ˈ(b ʌ ∅) (b ɫ̩ ∅)
buck,bʌk,(b ʌ k)
bucket,ˈbʌkɪt,ˈ(b ʌ ∅) (k ɪ t)
buddy,ˈbʌdi,ˈ(b ʌ ∅) (d i ∅)
budget,ˈbʌʤət,ˈ(b ʌ ∅) (ʤ ə t)
bug,bʌg,(b ʌ g)
build,bɪld,(b ɪ ld)
builder,ˈbɪldə,ˈ(b ɪ l) (d ə ∅)
building,ˈbɪldɪŋ,ˈ(b ɪ l) (d ɪ ŋ)
bulb,bʌlb,(b ʌ lb)
bulk,bʌlk,(b ʌ lk)
bull,bʊl,(b ʊ l)
bullet,ˈbʊlɪt,ˈ(b ʊ ∅) (l ɪ t)
bunch,bʌnʧ,(b ʌ nʧ)
burden,ˈbɜːdn̩,ˈ(b ɜː ∅) (d n̩ ∅)
bureau,ˈbjʊərəʊ,ˈ(bj ʊə ∅) (r əʊ ∅)
burn,bɜːn,(b ɜː n)
burning,ˈbɜːnɪŋ,ˈ(b ɜː ∅) (n ɪ ŋ)
burst,bɜːst,(b ɜː st)
bury,ˈberi,ˈ(b e ∅) (r i ∅)
bus,bʌs,(b ʌ s)
bush,bʊʃ,(b ʊ ʃ)
business,ˈbɪznəs,ˈ(b ɪ z) (n ə s)
businessman,ˈbɪznəsman,ˈ(b ɪ z) (n ə s) (m a n)
busy,ˈbɪzi,ˈ(b ɪ ∅) (z i ∅)
but,bʌt,(b ʌ t)
butt,bʌt,(b ʌ t)
butter,ˈbʌtə,ˈ(b ʌ ∅) (t ə ∅)
butterfly,ˈbʌtəflaɪ,ˈ(b ʌ ∅) (t ə ∅) (fl aɪ ∅)
button,ˈbʌtn̩,ˈ(b ʌ ∅) (t n̩ ∅)
buy,baɪ,(b aɪ ∅)
buyer,ˈbaɪə,ˈ(b aɪ ∅) (∅ ə ∅)
by,baɪ,(b aɪ ∅)
cab,kab,(k a b)
cabin,ˈkabɪn,ˈ(k a ∅) (b ɪ n)
cabinet,ˈkabɪnət,ˈ(k a ∅) (b ɪ ∅) (n ə t)
cable,ˈkeɪbɫ̩,ˈ(k eɪ ∅) (b ɫ̩ ∅)
cage,keɪʤ,(k eɪ ʤ)
cake,keɪk,(k eɪ k)
calculate,ˈkalkjʊleɪt,ˈ(k a l) (kj ʊ ∅) (l eɪ t)
calculation,ˌkalkjʊˈleɪʃn̩,ˌ(k a l) (kj ʊ ∅) ˈ(l eɪ ∅) (ʃ n̩ ∅)
calendar,ˈkalɪndə,ˈ(k a ∅) (l ɪ n) (d ə ∅)
call,kɔːl,(k ɔː l)
calm,kɑːm,(k ɑː m)
camera,ˈkamərə,ˈ(k a ∅) (m ə ∅) (r ə ∅)
camp,kamp,(k a mp)
campaign,kamˈpeɪn,(k a m) ˈ(p eɪ n)
campus,ˈkampəs,ˈ(k a m) (p ə s)
can,kan,(k a n)
canadian,kəˈneɪdiən,(k ə ∅) ˈ(n eɪ ∅) (d iə n)
cancel,ˈkansəl,ˈ(k a n) (s ə l)
cancer,ˈkansə,ˈ(k a n) (s ə ∅)
candidate,ˈkandɪdət,ˈ(k a n) (d ɪ ∅) (d ə t)
candle,ˈkandɫ̩,ˈ(k a n) (d ɫ̩ ∅)
candy,ˈkandi,ˈ(k a n) (d i ∅)
canvas,ˈkanvəs,ˈ(k a n) (v ə s)
cap,kap,(k a p)
capability,ˌkeɪpəˈbɪlɪti,ˌ(k eɪ ∅) (p ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
capable,ˈkeɪpəbɫ̩,ˈ(k eɪ ∅) (p ə ∅) (b ɫ̩ ∅)
capacity,kəˈpasɪti,(k ə ∅) ˈ(p a ∅) (s ɪ ∅) (t i ∅)
capital,ˈkapɪtəl,ˈ(k a ∅) (p ɪ ∅) (t ə l)
captain,ˈkaptɪn,ˈ(k a p) (t ɪ n)
capture,ˈkapʧə,ˈ(k a p) (ʧ ə ∅)
car,kɑː,(k ɑː ∅)
carbohydrate,ˌkɑːbəˈhaɪdreɪt,ˌ(k ɑː ∅) (b ə ∅) ˈ(h aɪ ∅) (dr eɪ t)
carbon,ˈkɑːbən,ˈ(k ɑː ∅) (b ə n)
card,kɑːd,(k ɑː d)
care,keə,(k eə ∅)
career,kəˈriə,(k ə ∅) ˈ(r iə ∅)
careful,ˈkeəfʊl,ˈ(k eə ∅) (f ʊ l)
carefully,ˈkeəfəli,ˈ(k eə ∅) (f ə ∅) (l i ∅)
cargo,ˈkɑːgəʊ,ˈ(k ɑː ∅) (g əʊ ∅)
carpet,ˈkɑːpɪt,ˈ(k ɑː ∅) (p ɪ t)
carrier,ˈkariə,ˈ(k a ∅) (r iə ∅)
carrot,ˈkarət,ˈ(k a ∅) (r ə t)
carry,ˈkari,ˈ(k a ∅) (r i ∅)
cart,kɑːt,(k ɑː t)
cartoon,kɑːˈtuːn,(k ɑː ∅) ˈ(t uː n)
carve,kɑːv,(k ɑː v)
case,keɪs,(k eɪ s)
cash,kaʃ,(k a ʃ)
casino,kəˈsiːnəʊ,(k ə ∅) ˈ(s iː ∅) (n əʊ ∅)
cast,kɑːst,(k ɑː st)
casual,ˈkaʒʊəl,ˈ(k a ∅) (ʒ ʊə l)
casualty,ˈkaʒʊəlti,ˈ(k a ∅) (ʒ ʊə l) (t i ∅)
cat,kat,(k a t)
catalogue,ˈkatəlɒg,ˈ(k a ∅) (t ə ∅) (l ɒ g)
catch,kaʧ,(k a ʧ)
category,ˈkatɪgəri,ˈ(k a ∅) (t ɪ ∅) (g ə ∅) (r i ∅)
catholic,ˈkaθlɪk,ˈ(k a θ) (l ɪ k)
cattle,ˈkatɫ̩,ˈ(k a ∅) (t ɫ̩ ∅)
cause,kɔːz,(k ɔː z)
cave,keɪv,(k eɪ v)
cease,siːs,(s iː s)
ceiling,ˈsiːlɪŋ,ˈ(s iː ∅) (l ɪ ŋ)
celebrate,ˈselɪbreɪt,ˈ(s e ∅) (l ɪ ∅) (br eɪ t)
celebration,ˌselɪˈbreɪʃn̩,ˌ(s e ∅) (l ɪ ∅) ˈ(br eɪ ∅) (ʃ n̩ ∅)
celebrity,sɪˈlebrɪti,(s ɪ ∅) ˈ(l e ∅) (br ɪ ∅) (t i ∅)
cell,sel,(s e l)
cemetery,ˈsemətri,ˈ(s e ∅) (m ə ∅) (tr i ∅)
centre,ˈsentə,ˈ(s e n) (t ə ∅)
central,ˈsentrəl,ˈ(s e n) (tr ə l)
century,ˈsenʧəri,ˈ(s e n) (ʧ ə ∅) (r i ∅)
ceremony,ˈserɪməni,ˈ(s e ∅) (r ɪ ∅) (m ə ∅) (n i ∅)
certain,ˈsɜːtn̩,ˈ(s ɜː ∅) (t n̩ ∅)
certainly,ˈsɜːtn̩li,ˈ(s ɜː ∅) (t n̩ ∅) (l i ∅)
chain,ʧeɪn,(ʧ eɪ n)
chair,ʧeə,(ʧ eə ∅)
chairman,ˈʧeəmən,ˈ(ʧ eə ∅) (m ə n)
challenge,ˈʧalənʤ,ˈ(ʧ a ∅) (l ə nʤ)
chamber,ˈʧeɪmbə,ˈ(ʧ eɪ m) (b ə ∅)
champion,ˈʧampiən,ˈ(ʧ a m) (p iə n)
championship,ˈʧampiənʃɪp,ˈ(ʧ a m) (p iə n) (ʃ ɪ p)
chance,ʧɑːns,(ʧ ɑː ns)
change,ʧeɪnʤ,(ʧ eɪ nʤ)
changing,ˈʧeɪnʤɪŋ,ˈ(ʧ eɪ n) (ʤ ɪ ŋ)
channel,ˈʧanəl,ˈ(ʧ a ∅) (n ə l)
chaos,ˈkeɪɒs,ˈ(k eɪ ∅) (∅ ɒ s)
chapter,ˈʧaptə,ˈ(ʧ a p) (t ə ∅)
character,ˈkarəktə,ˈ(k a ∅) (r ə k) (t ə ∅)
characteristic,ˌkarəktəˈrɪstɪk,ˌ(k a ∅) (r ə k) (t ə ∅) ˈ(r ɪ ∅) (st ɪ k)
characterise,ˈkarəktəˌraɪz,ˈ(k a ∅) (r ə k) (t ə ∅) ˌ(r aɪ z)
charge,ʧɑːʤ,(ʧ ɑː ʤ)
charity,ˈʧarɪti,ˈ(ʧ a ∅) (r ɪ ∅) (t i ∅)
charm,ʧɑːm,(ʧ ɑː m)
chart,ʧɑːt,(ʧ ɑː t)
charter,ˈʧɑːtə,ˈ(ʧ ɑː ∅) (t ə ∅)
chase,ʧeɪs,(ʧ eɪ s)
cheap,ʧiːp,(ʧ iː p)
cheat,ʧiːt,(ʧ iː t)
check,ʧek,(ʧ e k)
cheek,ʧiːk,(ʧ iː k)
cheer,ʧiə,(ʧ iə ∅)
cheese,ʧiːz,(ʧ iː z)
chef,ʃef,(ʃ e f)
chemical,ˈkemɪkəl,ˈ(k e ∅) (m ɪ ∅) (k ə l)
chemistry,ˈkemɪstri,ˈ(k e ∅) (m ɪ ∅) (str i ∅)
chest,ʧest,(ʧ e st)
chew,ʧuː,(ʧ uː ∅)
chicken,ˈʧɪkɪn,ˈ(ʧ ɪ ∅) (k ɪ n)
chief,ʧiːf,(ʧ iː f)
child,ʧaɪld,(ʧ aɪ ld)
childhood,ˈʧaɪldhʊd,ˈ(ʧ aɪ ld) (h ʊ d)
chill,ʧɪl,(ʧ ɪ l)
chin,ʧɪn,(ʧ ɪ n)
chinese,ʧaɪˈniːz,(ʧ aɪ ∅) ˈ(n iː z)
chip,ʧɪp,(ʧ ɪ p)
chocolate,ˈʧɒklət,ˈ(ʧ ɒ ∅) (kl ə t)
choice,ʧɔɪs,(ʧ ɔɪ s)
cholesterol,kəˈlestərɒl,(k ə ∅) ˈ(l e ∅) (st ə ∅) (r ɒ l)
choose,ʧuːz,(ʧ uː z)
chop,ʧɒp,(ʧ ɒ p)
christian,ˈkrɪsʧən,ˈ(kr ɪ s) (ʧ ə n)
christianity,ˌkrɪstɪˈanɪti,ˌ(kr ɪ ∅) (st ɪ ∅) ˈ(∅ a ∅) (n ɪ ∅) (t i ∅)
christmas,ˈkrɪsməs,ˈ(kr ɪ s) (m ə s)
chronic,ˈkrɒnɪk,ˈ(kr ɒ ∅) (n ɪ k)
chunk,ʧʌŋk,(ʧ ʌ ŋk)
church,ʧɜːʧ,(ʧ ɜː ʧ)
cigarette,ˌsɪgəˈret,ˌ(s ɪ ∅) (g ə ∅) ˈ(r e t)
circle,ˈsɜːkɫ̩,ˈ(s ɜː ∅) (k ɫ̩ ∅)
circuit,ˈsɜːkɪt,ˈ(s ɜː ∅) (k ɪ t)
circumstance,ˈsɜːkəmstəns,ˈ(s ɜː ∅) (k ə m) (st ə ns)
cite,saɪt,(s aɪ t)
citizen,ˈsɪtɪzən,ˈ(s ɪ ∅) (t ɪ ∅) (z ə n)
citizenship,ˈsɪtɪzənʃɪp,ˈ(s ɪ ∅) (t ɪ ∅) (z ə n) (ʃ ɪ p)
city,ˈsɪti,ˈ(s ɪ ∅) (t i ∅)
civic,ˈsɪvɪk,ˈ(s ɪ ∅) (v ɪ k)
civil,ˈsɪvəl,ˈ(s ɪ ∅) (v ə l)
civilian,sɪˈvɪliən,(s ɪ ∅) ˈ(v ɪ ∅) (l iə n)
civilization,ˌsɪvɪlaɪˈzeɪʃn̩,ˌ(s ɪ ∅) (v ɪ ∅) (l aɪ ∅) ˈ(z eɪ ∅) (ʃ n̩ ∅)
claim,kleɪm,(kl eɪ m)
class,klɑːs,(kl ɑː s)
classic,ˈklasɪk,ˈ(kl a ∅) (s ɪ k)
classical,ˈkəlasɪkəl,ˈ(k ə ∅) (l a ∅) (s ɪ ∅) (k ə l)
classify,ˈklasɪfaɪ,ˈ(kl a ∅) (s ɪ ∅) (f aɪ ∅)
classroom,ˈklasruːm,ˈ(kl a s) (r uː m)
clay,kleɪ,(kl eɪ ∅)
clean,kliːn,(kl iː n)
clear,kliə,(kl iə ∅)
clearly,ˈkliəli,ˈ(kl iə ∅) (l i ∅)
clerk,klɑːk,(kl ɑː k)
click,klɪk,(kl ɪ k)
client,ˈklaɪənt,ˈ(kl aɪ ∅) (∅ ə nt)
cliff,klɪf,(kl ɪ f)
climate,ˈklaɪmət,ˈ(kl aɪ ∅) (m ə t)
climb,klaɪm,(kl aɪ m)
cling,klɪŋ,(kl ɪ ŋ)
clinic,ˈklɪnɪk,ˈ(kl ɪ ∅) (n ɪ k)
clinical,ˈklɪnɪkəl,ˈ(kl ɪ ∅) (n ɪ ∅) (k ə l)
clip,klɪp,(kl ɪ p)
clock,ˈklɒk,ˈ(kl ɒ k)
close,kləʊz,(kl əʊ z)
closed,kləʊzd,(kl əʊ zd)
closely,ˈkləʊsli,ˈ(kl əʊ s) (l i ∅)
closer,ˈkləʊsə,ˈ(kl əʊ ∅) (s ə ∅)
closest,ˈkləʊsɪst,ˈ(kl əʊ ∅) (s ɪ st)
closet,ˈklɒzɪt,ˈ(kl ɒ ∅) (z ɪ t)
cloth,klɒθ,(kl ɒ θ)
clothes,kləʊðz,(kl əʊ ðz)
clothing,ˈkləʊðɪŋ,ˈ(kl əʊ ∅) (ð ɪ ŋ)
cloud,klaʊd,(kl aʊ d)
club,klʌb,(kl ʌ b)
clue,kluː,(kl uː ∅)
cluster,ˈklʌstə,ˈ(kl ʌ ∅) (st ə ∅)
coach,kəʊʧ,(k əʊ ʧ)
coal,kəʊl,(k əʊ l)
coalition,ˌkəʊəˈlɪʃn̩,ˌ(k əʊ ∅) (∅ ə ∅) ˈ(l ɪ ∅) (ʃ n̩ ∅)
coast,kəʊst,(k əʊ st)
coastal,ˈkəʊstəl,ˈ(k əʊ ∅) (st ə l)
coat,ˈkəʊt,ˈ(k əʊ t)
cocaine,kəʊˈkeɪn,(k əʊ ∅) ˈ(k eɪ n)
code,kəʊd,(k əʊ d)
coffee,ˈkɒfi,ˈ(k ɒ ∅) (f i ∅)
cognitive,ˈkɒgnətɪv,ˈ(k ɒ g) (n ə ∅) (t ɪ v)
coin,kɔɪn,(k ɔɪ n)
cold,kəʊld,(k əʊ ld)
collaboration,kəˌlabəˈreɪʃn̩,(k ə ∅) ˌ(l a ∅) (b ə ∅) ˈ(r eɪ ∅) (ʃ n̩ ∅)
collapse,kəˈlaps,(k ə ∅) ˈ(l a ps)
collar,ˈkɒlə,ˈ(k ɒ ∅) (l ə ∅)
colleague,ˈkɒliːg,ˈ(k ɒ ∅) (l iː g)
collect,kəˈlekt,(k ə ∅) ˈ(l e kt)
collection,kəˈlekʃn̩,(k ə ∅) ˈ(l e k) (ʃ n̩ ∅)
collective,kəˈlektɪv,(k ə ∅) ˈ(l e k) (t ɪ v)
collector,kəˈlektə,(k ə ∅) ˈ(l e k) (t ə ∅)
college,ˈkɒlɪʤ,ˈ(k ɒ ∅) (l ɪ ʤ)
colonial,kəˈləʊniəl,(k ə ∅) ˈ(l əʊ ∅) (n iə l)
colony,ˈkɒləni,ˈ(k ɒ ∅) (l ə ∅) (n i ∅)
colour,ˈkʌlə,ˈ(k ʌ ∅) (l ə ∅)
colourful,ˈkʌləfəl,ˈ(k ʌ ∅) (l ə ∅) (f ə l)
column,ˈkɒləm,ˈ(k ɒ ∅) (l ə m)
columnist,ˈkɒləmnɪst,ˈ(k ɒ ∅) (l ə m) (n ɪ st)
combat,ˈkɒmbat,ˈ(k ɒ m) (b a t)
combination,ˌkɒmbɪˈneɪʃn̩,ˌ(k ɒ m) (b ɪ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
combine,kəmˈbaɪn,(k ə m) ˈ(b aɪ n)
combined,kəmˈbaɪnd,(k ə m) ˈ(b aɪ nd)
come,kʌm,(k ʌ m)
comedy,ˈkɒmədi,ˈ(k ɒ ∅) (m ə ∅) (d i ∅)
comfort,ˈkʌmfət,ˈ(k ʌ m) (f ə t)
comfortable,ˈkʌmftəbɫ̩,ˈ(k ʌ mf) (t ə ∅) (b ɫ̩ ∅)
coming,ˈkʌmɪŋ,ˈ(k ʌ ∅) (m ɪ ŋ)
command,kəˈmɑːnd,(k ə ∅) ˈ(m ɑː nd)
commander,kəˈmɑːndə,(k ə ∅) ˈ(m ɑː n) (d ə ∅)
comment,ˈkɒment,ˈ(k ɒ ∅) (m e nt)
commercial,kəˈmɜːʃəl,(k ə ∅) ˈ(m ɜː ∅) (ʃ ə l)
commission,kəˈmɪʃn̩,(k ə ∅) ˈ(m ɪ ∅) (ʃ n̩ ∅)
commissioner,kəˈmɪʃənə,(k ə ∅) ˈ(m ɪ ∅) (ʃ ə ∅) (n ə ∅)
commit,kəˈmɪt,(k ə ∅) ˈ(m ɪ t)
commitment,kəˈmɪtmənt,(k ə ∅) ˈ(m ɪ t) (m ə nt)
committee,kəˈmɪti,(k ə ∅) ˈ(m ɪ ∅) (t i ∅)
commodity,kəˈmɒdɪti,(k ə ∅) ˈ(m ɒ ∅) (d ɪ ∅) (t i ∅)
common,ˈkɒmən,ˈ(k ɒ ∅) (m ə n)
commonly,ˈkɒmənli,ˈ(k ɒ ∅) (m ə n) (l i ∅)
communicate,kəˈmjuːnɪkeɪt,(k ə ∅) ˈ(mj uː ∅) (n ɪ ∅) (k eɪ t)
communication,kəˌmjuːnɪˈkeɪʃn̩,(k ə ∅) ˌ(mj uː ∅) (n ɪ ∅) ˈ(k eɪ ∅) (ʃ n̩ ∅)
community,kəˈmjuːnɪti,(k ə ∅) ˈ(mj uː ∅) (n ɪ ∅) (t i ∅)
companion,kəmˈpanjən,(k ə m) ˈ(p a ∅) (nj ə n)
company,ˈkʌmpəni,ˈ(k ʌ m) (p ə ∅) (n i ∅)
comparable,ˈkɒmpərəbɫ̩,ˈ(k ɒ m) (p ə ∅) (r ə ∅) (b ɫ̩ ∅)
compare,kəmˈpeə,(k ə m) ˈ(p eə ∅)
comparison,kəmˈparɪsn̩,(k ə m) ˈ(p a ∅) (r ɪ ∅) (s n̩ ∅)
compel,kəmˈpel,(k ə m) ˈ(p e l)
compelling,kəmˈpelɪŋ,(k ə m) ˈ(p e ∅) (l ɪ ŋ)
compensation,ˌkɒmpenˈseɪʃn̩,ˌ(k ɒ m) (p e n) ˈ(s eɪ ∅) (ʃ n̩ ∅)
compete,kəmˈpiːt,(k ə m) ˈ(p iː t)
competition,ˌkɒmpəˈtɪʃn̩,ˌ(k ɒ m) (p ə ∅) ˈ(t ɪ ∅) (ʃ n̩ ∅)
competitive,kəmˈpetətɪv,(k ə m) ˈ(p e ∅) (t ə ∅) (t ɪ v)
competitor,kəmˈpetɪtə,(k ə m) ˈ(p e ∅) (t ɪ ∅) (t ə ∅)
complain,kəmˈpleɪn,(k ə m) ˈ(pl eɪ n)
complaint,kəmˈpleɪnt,(k ə m) ˈ(pl eɪ nt)
complete,kəmˈpliːt,(k ə m) ˈ(pl iː t)
completely,kəmˈpliːtli,(k ə m) ˈ(pl iː t) (l i ∅)
complex,ˈkɒmpleks,ˈ(k ɒ m) (pl e ks)
complexity,kəmˈpleksɪti,(k ə m) ˈ(pl e k) (s ɪ ∅) (t i ∅)
compliance,kəmˈplaɪəns,(k ə m) ˈ(pl aɪ ∅) (∅ ə ns)
complicated,ˈkɒmplɪkeɪtɪd,ˈ(k ɒ m) (pl ɪ ∅) (k eɪ ∅) (t ɪ d)
comply,kəmˈplaɪ,(k ə m) ˈ(pl aɪ ∅)
component,kəmˈpəʊnənt,(k ə m) ˈ(p əʊ ∅) (n ə nt)
compose,kəmˈpəʊz,(k ə m) ˈ(p əʊ z)
composition,ˌkɒmpəˈzɪʃn̩,ˌ(k ɒ m) (p ə ∅) ˈ(z ɪ ∅) (ʃ n̩ ∅)
compound,kəmˈpaʊnd,(k ə m) ˈ(p aʊ nd)
comprehensive,ˌkɒmprɪˈhensɪv,ˌ(k ɒ m) (pr ɪ ∅) ˈ(h e n) (s ɪ v)
comprise,kəmˈpraɪz,(k ə m) ˈ(pr aɪ z)
compromise,ˈkɒmprəmaɪz,ˈ(k ɒ m) (pr ə ∅) (m aɪ z)
computer,kəmˈpjuːtə,(k ə m) ˈ(pj uː ∅) (t ə ∅)
concede,kənˈsiːd,(k ə n) ˈ(s iː d)
conceive,kənˈsiːv,(k ə n) ˈ(s iː v)
concentrate,ˈkɒnsəntreɪt,ˈ(k ɒ n) (s ə n) (tr eɪ t)
concentration,ˌkɒnsənˈtreɪʃn̩,ˌ(k ɒ n) (s ə n) ˈ(tr eɪ ∅) (ʃ n̩ ∅)
